"N";"quarter";"ages";"years";"prey";"predator"
0;1;0;1985;"cod";"cormorant"
5216.29826622305;2;0;1985;"cod";"cormorant"
3580.09759339422;3;0;1985;"cod";"cormorant"
887.511877559042;4;0;1985;"cod";"cormorant"
0;1;0;1986;"cod";"cormorant"
6431.83805666994;2;0;1986;"cod";"cormorant"
4414.35799346233;3;0;1986;"cod";"cormorant"
1094.32635529948;4;0;1986;"cod";"cormorant"
0;1;0;1987;"cod";"cormorant"
8258.41323515992;2;0;1987;"cod";"cormorant"
5667.98979649964;3;0;1987;"cod";"cormorant"
1405.10366967613;4;0;1987;"cod";"cormorant"
0;1;0;1988;"cod";"cormorant"
9551.60246027534;2;0;1988;"cod";"cormorant"
6555.54326763029;3;0;1988;"cod";"cormorant"
1625.1295843469;4;0;1988;"cod";"cormorant"
0;1;0;1989;"cod";"cormorant"
13132.1833238023;2;0;1989;"cod";"cormorant"
9013.00031441609;3;0;1989;"cod";"cormorant"
2234.33708797414;4;0;1989;"cod";"cormorant"
0;1;0;1990;"cod";"cormorant"
16196.0691977516;2;0;1990;"cod";"cormorant"
11115.8345244128;3;0;1990;"cod";"cormorant"
2755.63302732314;4;0;1990;"cod";"cormorant"
0;1;0;1991;"cod";"cormorant"
19720.7715067964;2;0;1991;"cod";"cormorant"
13534.9404899885;3;0;1991;"cod";"cormorant"
3355.33323702801;4;0;1991;"cod";"cormorant"
0;1;0;1992;"cod";"cormorant"
4979.38296287301;2;0;1992;"cod";"cormorant"
3564.32941616281;3;0;1992;"cod";"cormorant"
996.327045335065;4;0;1992;"cod";"cormorant"
0;1;0;1993;"cod";"cormorant"
16389.6717528921;2;0;1993;"cod";"cormorant"
12938.7174353219;3;0;1993;"cod";"cormorant"
3941.33559854723;4;0;1993;"cod";"cormorant"
0;1;0;1994;"cod";"cormorant"
30667.0499440883;2;0;1994;"cod";"cormorant"
23720.166831318;3;0;1994;"cod";"cormorant"
6181.94475964315;4;0;1994;"cod";"cormorant"
0;1;0;1995;"cod";"cormorant"
6211.49685938068;2;0;1995;"cod";"cormorant"
4704.13630676215;3;0;1995;"cod";"cormorant"
1185.33289531244;4;0;1995;"cod";"cormorant"
0;1;0;1996;"cod";"cormorant"
17717.2940385628;2;0;1996;"cod";"cormorant"
15298.0316159754;3;0;1996;"cod";"cormorant"
4068.78881406403;4;0;1996;"cod";"cormorant"
0;1;0;1997;"cod";"cormorant"
