GYLP;ART;NAVN;OTOLLGD;FISKLGD;FISKVGT
1501;TOR;Torsk;4;94;7
1501;ULK;Ulk;5;178;82
1501;ULK;Ulk;5;182;88
1501;ULK;Ulk;4;161;59
1501;ULK;Ulk;5;164;63
1501;ULK;Ulk;5;178;82
1501;ULK;Ulk;5;178;82
1501;ULK;Ulk;3;105;15
1501;LAN;Langtornet ulk;3;137;37
1501;LAN;Langtornet ulk;4;147;47
1501;LAN;Langtornet ulk;3;110;19
1501;LAN;Langtornet ulk;2;103;15
1501;ISI;Ising;3;142;25
1501;ISI;Ising;3;148;28
1501;ÅLA;Ålekvabbe;1;165;16
1501;ÅLA;Ålekvabbe;1;156;13
1501;ÅLA;Ålekvabbe;0;147;10
1502;ULK;Ulk;3;98;12
1502;ULK;Ulk;3;95;11
1502;ULK;Ulk;6;210;141
1502;ULK;Ulk;4;157;54
1502;ULK;Ulk;6;220;166
1502;TOR;Torsk;5;115;13
1502;HVI;Hvilling;5;98;6
1502;HVI;Hvilling;5;100;6
1502;ISI;Ising;3;165;4
1502;ISI;Ising;4;200;75
1502;ISI;Ising;4;189;62
1502;ISI;Ising;4;212;91
1502;ISI;Ising;3;160;36
1502;ISI;Ising;3;171;45
1502;ISI;Ising;3;165;4
1502;ISI;Ising;3;136;22
1502;ISI;Ising;2;107;11
1502;ISI;Ising;4;183;56
1502;ISI;Ising;3;165;4
1502;ISI;Ising;3;171;45
1502;ISI;Ising;3;171;45
1502;ISI;Ising;3;165;4
1502;ISI;Ising;3;124;17
1502;ISI;Ising;3;171;45
1502;ISI;Ising;3;148;28
1502;ISI;Ising;3;154;32
1502;ISI;Ising;3;148;28
1502;ISI;Ising;3;136;22
1502;ISI;Ising;3;136;22
1502;ISI;Ising;2;113;13
1502;ISI;Ising;2;119;15
1502;ISI;Ising;3;148;28
1502;ISI;Ising;2;101;9
1502;ISI;Ising;2;119;15
1502;ISI;Ising;2;95;8
1502;ISI;Ising;2;89;7
1502;ISI;Ising;2;89;7
1502;ÅLA;Ålekvabbe;1;174;19
1502;ÅLA;Ålekvabbe;1;200;34
1503;TOR;Torsk;10;311;242
1503;TOR;Torsk;9;272;171
1503;TOR;Torsk;9;233;117
1503;TOR;Torsk;10;315;252
1503;TOR;Torsk;7;186;59
1503;HVI;Hvilling;7;142;18
1503;ULK;Ulk;5;192;105
1503;ULK;Ulk;6;213;149
1503;ULK;Ulk;4;161;59
1503;ULK;Ulk;4;157;54
1503;ULK;Ulk;4;161;59
1503;ULK;Ulk;4;157;54
1503;LAN;Langtornet ulk;3;133;35
1503;SIL;Sild;1;244;104
1503;TAN;Tangspræl;2;419;21
1503;ÅLA;Ålekvabbe;1;209;40
1503;SOR;Sort kutling;1;54;1
1503;SOR;Sort kutling;1;67;3
1503;ISI;Ising;3;154;32
1503;ISI;Ising;3;171;45
1503;ISI;Ising;3;154;32
1503;ISI;Ising;4;189;62
1503;ISI;Ising;3;160;36
1503;ISI;Ising;3;124;17
1503;ISI;Ising;3;136;22
1503;ISI;Ising;3;124;17
1503;ISI;Ising;3;142;25
1503;ISI;Ising;3;136;22
1503;ISI;Ising;2;89;7
1504;TOR;Torsk;7;190;62
1504;TOR;Torsk;7;180;52
1504;HVI;Hvilling;6;124;12
1504;HVI;Hvilling;7;126;12
1504;HVI;Hvilling;6;118;10
1504;HVI;Hvilling;6;114;9
1504;HVI;Hvilling;6;110;8
1504;ULK;Ulk;4;157;54
1504;ULK;Ulk;4;143;40
1504;ULK;Ulk;4;157;54
1504;ULK;Ulk;3;122;24
1504;ULK;Ulk;4;161;59
1504;ULK;Ulk;3;126;26
1504;TBI;Tobis;2;147;10
1504;TBI;Tobis;2;142;9
1504;SOR;Sort kutling;2;79;5
1504;SOR;Sort kutling;2;84;6
1504;SOR;Sort kutling;2;79;5
1504;SOR;Sort kutling;2;88;7
1504;SOR;Sort kutling;1;54;1
1504;SKB;Skrubbe;2;103;25
1504;SKB;Skrubbe;2;97;22
1504;ISI;Ising;3;148;28
1504;ISI;Ising;2;89;7
1504;ISI;Ising;3;130;19
1504;ISI;Ising;3;171;45
1504;ISI;Ising;2;95;8
1504;ISI;Ising;3;130;19
1504;ISI;Ising;2;84;6
1504;ISI;Ising;2;78;5
1504;ISI;Ising;2;119;15
1504;ISI;Ising;2;89;7
1504;ISI;Ising;2;113;13
1504;ÅLA;Ålekvabbe;1;183;23
1504;ÅLA;Ålekvabbe;1;165;16
1504;ÅLA;Ålekvabbe;1;183;23
1504;ÅLA;Ålekvabbe;1;156;13
1504;ÅLA;Ålekvabbe;1;165;16
1504;ÅLA;Ålekvabbe;1;200;34
1504;ÅLA;Ålekvabbe;1;174;19
1504;ÅLA;Ålekvabbe;0;147;10
1504;ÅLA;Ålekvabbe;1;192;28
1504;ÅLA;Ålekvabbe;1;174;19
1504;ÅLA;Ålekvabbe;1;183;23
1504;ÅLA;Ålekvabbe;1;174;19
1504;ÅLA;Ålekvabbe;1;165;16
1504;ÅLA;Ålekvabbe;1;156;13
1504;ÅLA;Ålekvabbe;1;165;16
