GYLP;DAG;MON;YEAR;LOKAL
1501;1;5;93;SVA
1502;1;5;93;SVA
1503;1;5;93;SVA
1504;1;5;93;SVA
1505;1;5;93;SVA
1506;1;5;93;SVA
1507;1;5;93;SVA
1508;1;5;93;SVA
1509;1;5;93;SVA
1510;1;5;93;SVA
1511;1;5;93;SVA
1512;1;5;93;SVA
1513;1;5;93;SVA
1514;1;5;93;SVA
1515;1;5;93;SVA
1516;1;5;93;SVA
1517;1;5;93;SVA
1518;1;5;93;SVA
1519;1;5;93;SVA
1520;1;5;93;SVA
1521;1;5;93;SVA
1522;1;5;93;SVA
1523;1;5;93;SVA
1524;1;5;93;SVA
1525;1;5;93;SVA
1526;1;5;93;SVA
1527;1;5;93;SVA
1528;1;5;93;SVA
1529;1;5;93;SVA
1530;1;5;93;SVA
1531;1;5;93;SVA
1532;1;5;93;SVA
1533;1;5;93;SVA
1534;1;5;93;SVA
1535;1;5;93;SVA
1536;1;5;93;SVA
1537;8;5;93;STA
1538;8;5;93;STA
1539;8;5;93;STA
1540;8;5;93;STA
1541;8;5;93;STA
1542;8;5;93;STA
1543;8;5;93;STA
1544;8;5;93;STA
1545;8;5;93;STA
1546;8;5;93;STA
1547;8;5;93;STA
1548;8;5;93;STA
1549;8;5;93;STA
1550;8;5;93;STA
1551;8;5;93;STA
1552;8;5;93;STA
1553;8;5;93;STA
1554;8;5;93;STA
1555;8;5;93;STA
1556;8;5;93;STA
1557;8;5;93;STA
1558;8;5;93;STA
1559;8;5;93;STA
1560;8;5;93;STA
1561;8;5;93;STA
1562;8;5;93;STA
1563;8;5;93;STA
1564;8;5;93;STA
1565;8;5;93;STA
1566;8;5;93;STA
1567;8;5;93;STA
1568;8;5;93;STA
1569;8;5;93;STA
1570;8;5;93;STA
1571;8;5;93;STA
1572;8;5;93;STA
1573;8;5;93;STA
1574;8;5;93;STA
1575;8;5;93;STA
1576;8;5;93;STA
1577;8;5;93;STA
1578;8;5;93;STA
1579;8;5;93;STA
1580;8;5;93;STA
1581;8;5;93;STA
1582;8;5;93;STA
1583;8;5;93;STA
1584;8;5;93;STA
1585;8;5;93;STA
1586;8;5;93;STA
1587;8;5;93;STA
1588;8;5;93;STA
1589;6;5;93;TYR
1590;6;5;93;TYR
1591;6;5;93;TYR
1592;6;5;93;TYR
1593;6;5;93;TYR
1594;6;5;93;TYR
1595;6;5;93;TYR
1596;6;5;93;TYR
1597;6;5;93;TYR
1598;6;5;93;TYR
1599;6;5;93;TYR
1600;6;5;93;TYR
1601;6;5;93;TYR
1602;6;5;93;TYR
1603;6;5;93;TYR
1604;6;5;93;TYR
1605;6;5;93;TYR
1606;6;5;93;TYR
1607;6;5;93;TYR
1608;6;5;93;TYR
1609;6;5;93;TYR
1610;6;5;93;TYR
1611;6;5;93;TYR
1612;6;5;93;TYR
1613;6;5;93;TYR
1614;6;5;93;TYR
1615;6;5;93;TYR
1616;6;5;93;TYR
1617;6;5;93;TYR
1618;6;5;93;TYR
1619;6;5;93;TYR
1620;6;5;93;TYR
1621;6;5;93;TYR
1622;6;5;93;TYR
1623;6;5;93;TYR
1624;6;5;93;TYR
1625;6;5;93;TYR
1626;6;5;93;TYR
1627;6;5;93;TYR
1628;6;5;93;TYR
1629;6;5;93;TYR
1630;6;5;93;TYR
1631;6;5;93;TYR
1632;6;5;93;TYR
1633;6;5;93;TYR
1634;6;5;93;TYR
1635;6;5;93;TYR
1636;6;5;93;TYR
1637;6;5;93;TYR
1638;6;5;93;DYR
1639;6;5;93;DYR
1640;6;5;93;DYR
1641;6;5;93;DYR
1642;6;5;93;DYR
1643;6;5;93;DYR
1644;6;5;93;DYR
1645;6;5;93;DYR
1646;6;5;93;DYR
1647;6;5;93;DYR
1648;6;5;93;DYR
1649;6;5;93;DYR
1650;6;5;93;DYR
1651;6;5;93;DYR
1652;6;5;93;DYR
1653;6;5;93;DYR
1654;6;5;93;DYR
1655;6;5;93;DYR
1656;6;5;93;DYR
1657;6;5;93;DYR
1658;6;5;93;DYR
1659;6;5;93;DYR
1660;6;5;93;DYR
1661;6;5;93;DYR
1662;6;5;93;DYR
1663;6;5;93;DYR
1664;6;5;93;DYR
1665;6;5;93;DYR
1666;6;5;93;DYR
1667;6;5;93;DYR
1668;6;5;93;DYR
1669;6;5;93;DYR
1670;6;5;93;DYR
1671;6;5;93;DYR
1672;6;5;93;DYR
1673;6;5;93;DYR
1674;6;5;93;DYR
1675;6;5;93;DYR
1676;12;5;93;BRÆ
1677;12;5;93;BRÆ
1678;12;5;93;BRÆ
1679;12;5;93;BRÆ
1680;12;5;93;BRÆ
1681;12;5;93;BRÆ
1682;12;5;93;BRÆ
1683;12;5;93;BRÆ
1684;12;5;93;BRÆ
1685;12;5;93;BRÆ
1686;12;5;93;BRÆ
1687;12;5;93;BRÆ
1688;12;5;93;BRÆ
1689;12;5;93;BRÆ
1690;12;5;93;BRÆ
1691;12;5;93;BRÆ
1692;12;5;93;BRÆ
1693;12;5;93;BRÆ
1694;12;5;93;BRÆ
1695;12;5;93;BRÆ
1696;12;5;93;BRÆ
1697;12;5;93;BRÆ
1698;12;5;93;BRÆ
1699;12;5;93;BRÆ
1700;12;5;93;BRÆ
1701;12;5;93;BRÆ
1702;12;5;93;BRÆ
1703;12;5;93;BRÆ
1704;12;5;93;BRÆ
1705;12;5;93;BRÆ
1706;12;5;93;BRÆ
1707;12;5;93;BRÆ
1708;12;5;93;BRÆ
1709;12;5;93;BRÆ
1710;12;5;93;BRÆ
1711;12;5;93;BRÆ
1712;12;5;93;BRÆ
1713;7;5;93;ORM
1714;7;5;93;ORM
1715;7;5;93;ORM
1716;7;5;93;ORM
1717;7;5;93;ORM
1718;7;5;93;ORM
1719;7;5;93;ORM
1720;7;5;93;ORM
1721;7;5;93;ORM
1722;7;5;93;ORM
1723;7;5;93;ORM
1724;7;5;93;ORM
1725;7;5;93;ORM
1726;7;5;93;ORM
1727;7;5;93;ORM
1728;7;5;93;ORM
1729;7;5;93;ORM
1730;7;5;93;ORM
1731;7;5;93;ORM
1732;7;5;93;ORM
1733;7;5;93;ORM
1734;7;5;93;ORM
1735;7;5;93;ORM
1736;7;5;93;ORM
1737;7;5;93;ORM
1738;7;5;93;ORM
1739;7;5;93;ORM
1740;7;5;93;ORM
1741;7;5;93;ORM
1742;7;5;93;ORM
1743;7;5;93;ORM
1744;7;5;93;ORM
1745;7;5;93;ORM
1746;7;5;93;ORM
1747;7;5;93;ORM
1748;7;5;93;ORM
1749;7;5;93;ORM
1750;7;5;93;ORM
1751;7;5;93;ORM
1752;7;5;93;ORM
1753;7;5;93;ORM
1754;7;5;93;ORM
1755;7;5;93;ORM
1756;7;5;93;ORM
1757;7;5;93;ORM
1758;7;5;93;ORM
1759;7;5;93;ORM
1760;7;5;93;ORM
1761;7;5;93;ORM
1762;7;5;93;ORM
1763;7;5;93;ORM
1764;7;5;93;ORM
1765;7;5;93;ORM
1766;7;5;93;ORM
1767;7;5;93;ORM
1768;7;5;93;ORM
1769;7;5;93;ORM
1770;7;5;93;ORM
1771;7;5;93;ORM
1772;13;5;93;HOP
1773;13;5;93;HOP
1774;13;5;93;HOP
1775;13;5;93;HOP
1776;13;5;93;HOP
1777;13;5;93;HOP
1778;13;5;93;HOP
1779;13;5;93;HOP
1780;13;5;93;HOP
1781;13;5;93;HOP
1782;13;5;93;HOP
1783;13;5;93;HOP
1784;13;5;93;HOP
1785;13;5;93;HOP
1786;13;5;93;HOP
1787;13;5;93;HOP
1788;13;5;93;HOP
1789;13;5;93;HOP
1790;13;5;93;HOP
1791;13;5;93;HOP
1792;13;5;93;HOP
1793;13;5;93;HOP
1794;13;5;93;HOP
1795;13;5;93;HOP
1796;13;5;93;HOP
1797;13;5;93;HOP
1798;13;5;93;HOP
1799;13;5;93;HOP
1800;13;5;93;HOP
1801;13;5;93;HOP
1802;13;5;93;HOP
1803;5;5;93;NAK
1804;5;5;93;NAK
1805;5;5;93;NAK
1806;5;5;93;NAK
1807;5;5;93;NAK
1808;5;5;93;NAK
1809;5;5;93;NAK
1810;5;5;93;NAK
1811;5;5;93;NAK
1812;5;5;93;NAK
1813;5;5;93;NAK
1814;5;5;93;NAK
1815;5;5;93;NAK
1816;5;5;93;NAK
1817;5;5;93;NAK
1818;5;5;93;NAK
1819;5;5;93;NAK
1820;5;5;93;NAK
1821;5;5;93;NAK
1822;5;5;93;NAK
1823;5;5;93;NAK
1824;5;5;93;NAK
1825;5;5;93;NAK
1826;5;5;93;NAK
1827;5;5;93;NAK
1828;5;5;93;NAK
1829;5;5;93;NAK
1830;5;5;93;NAK
1831;5;5;93;NAK
1832;5;5;93;NAK
1833;5;5;93;NAK
1834;5;5;93;NAK
1835;5;5;93;NAK
1836;8;5;93;SAL
1837;8;5;93;SAL
1838;8;5;93;SAL
1839;8;5;93;SAL
1840;8;5;93;SAL
1841;8;5;93;SAL
1842;8;5;93;SAL
1843;8;5;93;SAL
1844;8;5;93;SAL
1845;8;5;93;SAL
1846;8;5;93;SAL
1847;8;5;93;SAL
1848;8;5;93;SAL
1849;8;5;93;SAL
1850;8;5;93;SAL
1851;8;5;93;SAL
1852;8;5;93;SAL
1853;8;5;93;SAL
1854;8;5;93;SAL
1855;8;5;93;SAL
1856;8;5;93;SAL
1857;8;5;93;SAL
1858;8;5;93;SAL
1859;8;5;93;SAL
1860;8;5;93;SAL
1861;8;5;93;SAL
1862;8;5;93;SAL
1863;8;5;93;SAL
1864;8;5;93;SAL
1865;8;5;93;SAL
1866;8;5;93;SAL
1867;8;5;93;SAL
1868;8;5;93;SAL
1869;8;5;93;SAL
1870;8;5;93;SAL
1871;8;5;93;SAL
1872;8;5;93;SAL
1873;8;5;93;SAL
1874;8;5;93;SAL
1875;8;5;93;SAL
1876;8;5;93;SAL
1877;8;5;93;SAL
1878;8;5;93;SAL
1879;8;5;93;SAL
1880;8;5;93;SAL
1881;8;5;93;SAL
1882;8;5;93;SAL
1883;9;4;93;MÅØ
1884;9;4;93;MÅØ
1885;9;4;93;MÅØ
1886;9;4;93;MÅØ
1887;9;4;93;MÅØ
1888;9;4;93;MÅØ
1889;9;4;93;MÅØ
1890;9;4;93;MÅØ
1891;9;4;93;MÅØ
1892;9;4;93;MÅØ
1893;9;4;93;MÅØ
1894;9;4;93;MÅØ
1895;9;4;93;MÅØ
1896;9;4;93;MÅØ
1897;9;4;93;MÅØ
1898;9;4;93;MÅØ
1899;9;4;93;MÅØ
1900;9;4;93;MÅØ
1901;9;4;93;MÅØ
1902;9;4;93;MÅØ
1903;9;4;93;MÅØ
1904;9;4;93;MÅØ
1905;9;4;93;MÅØ
1906;9;4;93;MÅØ
1907;9;4;93;MÅØ
1908;9;4;93;MÅØ
1909;16;7;93;MEL
1910;16;7;93;MEL
1911;16;7;93;MEL
1912;16;7;93;MEL
1913;16;7;93;MEL
1914;16;7;93;MEL
1915;16;7;93;MEL
1916;16;7;93;MEL
1917;16;7;93;MEL
1918;16;7;93;MEL
1919;16;7;93;MEL
1920;16;7;93;MEL
1921;16;7;93;MEL
1922;16;7;93;MEL
1923;16;7;93;MEL
1924;16;7;93;MEL
1925;16;7;93;MEL
1926;16;7;93;MEL
1927;16;7;93;MEL
1928;16;7;93;MEL
1929;16;7;93;MEL
1930;16;7;93;MEL
1931;16;7;93;MEL
1932;16;7;93;MEL
1933;16;7;93;MEL
1934;16;7;93;MEL
1935;16;7;93;MEL
1936;29;4;93;RSA
1937;29;4;93;RSA
1938;29;4;93;RSA
1939;29;4;93;RSA
1940;29;4;93;RSA
1941;29;4;93;RSA
1942;29;4;93;RSA
1943;29;4;93;RSA
1944;29;4;93;RSA
1945;29;4;93;RSA
1946;29;4;93;RSA
1947;29;4;93;RSA
1948;29;4;93;RSA
1949;29;4;93;RSA
1950;29;4;93;RSA
1951;29;4;93;RSA
1952;29;4;93;RSA
1953;29;4;93;RSA
1954;29;4;93;RSA
1955;29;4;93;RSA
1956;29;4;93;RSA
1957;29;4;93;RSA
1958;29;4;93;RSA
1959;29;4;93;RSA
1960;29;4;93;RSA
1961;29;4;93;RSA
1962;29;4;93;RSA
1963;29;4;93;RSA
1964;29;4;93;RSA
1965;29;4;93;RSA
1966;29;4;93;RSA
1967;29;4;93;RSA
1968;29;4;93;RSA
1969;29;4;93;RSA
1970;29;4;93;RSA
1971;29;4;93;RSA
1972;29;4;93;RSA
1973;29;4;93;RSA
1974;29;4;93;RSA
1975;29;4;93;RSA
1976;29;4;93;RSA
1977;29;4;93;RSA
1978;29;4;93;RSA
1979;29;4;93;RSA
1980;29;5;93;MEL
1981;29;5;93;MEL
1982;29;5;93;MEL
1983;29;5;93;MEL
1984;29;5;93;MEL
1985;29;5;93;MEL
1986;29;5;93;MEL
1987;29;5;93;MEL
1988;29;5;93;MEL
1989;29;5;93;MEL
1990;29;5;93;MEL
1991;29;5;93;MEL
1992;29;5;93;MEL
1993;29;5;93;MEL
1994;29;5;93;MEL
1995;29;5;93;MEL
1996;29;5;93;MEL
1997;29;5;93;MEL
1998;29;5;93;MEL
1999;29;5;93;MEL
2000;29;5;93;MEL
2001;29;5;93;MEL
2002;29;5;93;MEL
2003;29;5;93;MEL
2004;29;5;93;MEL
2005;29;5;93;MEL
2006;29;5;93;MEL
2007;29;5;93;MEL
2008;29;5;93;MEL
2009;29;5;93;MEL
2010;29;5;93;MEL
2011;30;4;93;BOG
2012;30;4;93;BOG
2013;30;4;93;BOG
2014;30;4;93;BOG
2015;30;4;93;BOG
2016;30;4;93;BOG
2017;30;4;93;BOG
2018;30;4;93;BOG
2019;30;4;93;BOG
2020;30;4;93;BOG
2021;30;4;93;BOG
2022;30;4;93;BOG
2023;30;4;93;BOG
2024;30;4;93;BOG
2025;30;4;93;BOG
2026;30;4;93;BOG
2027;30;4;93;BOG
2028;30;4;93;BOG
2029;30;4;93;BOG
2030;30;4;93;BOG
2031;30;4;93;BOG
2032;30;4;93;BOG
2033;30;4;93;BOG
2034;30;4;93;BOG
2035;30;4;93;BOG
2036;30;4;93;BOG
2037;30;4;93;BOG
2038;30;4;93;BOG
2039;30;4;93;BOG
2040;30;4;93;BOG
2041;30;4;93;BOG
2042;30;4;93;BOG
2043;30;4;93;BOG
2044;30;4;93;BOG
2045;30;4;93;BOG
2046;30;4;93;BOG
2047;30;4;93;BOG
2048;30;4;93;BOG
2049;30;4;93;BOG
2050;30;4;93;BOG
2051;30;4;93;BOG
2052;30;4;93;BOG
2053;30;4;93;BOG
2054;30;4;93;BOG
2055;30;4;93;BOG
2056;30;4;93;BOG
2057;30;4;93;BOG
2058;30;4;93;BOG
2059;16;7;93;OLS
2060;16;7;93;OLS
2061;16;7;93;OLS
2062;16;7;93;OLS
2063;16;7;93;OLS
2064;16;7;93;OLS
2065;16;7;93;OLS
2066;16;7;93;OLS
2067;16;7;93;OLS
2068;16;7;93;OLS
2069;16;7;93;OLS
2070;16;7;93;OLS
2071;16;7;93;OLS
2072;16;7;93;OLS
2073;16;7;93;OLS
2074;16;7;93;OLS
2075;16;7;93;OLS
2076;16;7;93;OLS
2077;16;7;93;OLS
2078;16;7;93;OLS
2079;16;7;93;OLS
2080;16;7;93;OLS
2081;16;7;93;OLS
2082;16;7;93;OLS
2083;16;7;93;OLS
2084;16;7;93;OLS
2085;16;7;93;OLS
2086;16;7;93;OLS
2087;16;7;93;OLS
2088;16;7;93;OLS
2089;16;7;93;OLS
2090;16;7;93;OLS
2091;16;7;93;OLS
2092;16;7;93;OLS
2093;16;7;93;OLS
2094;16;7;93;OLS
2095;16;7;93;OLS
2096;16;7;93;OLS
2097;16;7;93;OLS
2098;16;7;93;OLS
2099;16;7;93;OLS
2100;16;7;93;OLS
