Scat ;Site;Year;Month;Season;Hard parts;Otoliths;Species;State;Erosion;left/right;Photo;Length;Length2;MeanLength (mm);Width;Width2;MeanWidth;raw FL (mm);raw FW (g);OL with SCF (mm);OW with SCF (mm);FL with SCF;FW with SCF;Comments;Garfish vertebrae;other fish;;;;;;;;;;;
1;Tat;2015;May;Spring;;01-jan;herring;W;2;left;Mag2.5_2018-01-08_Tat_1_1;4.326;4.321;4.324;2.141;2.146;2.144;26.886;42.57;;2.315;29.545;60.002;;;;;;;;;;;;;;
2;Tat;2015;May;Spring;;02-jan;cod;W;3;left;cod_mag08_06112017_Tat_2_1;11.248;N/A;11.248;4.575;N/A;4.575;288.497;207.146;;5.307;358.171;370.898;;;;;;;;;;;;;;
2;Tat;2015;May;Spring;;02-feb;cod;F;3;left;cod_mag08_06112017_Tat_2_2;N/A;N/A;N/A;4.614;N/A;4.614;292.209;214.163;;5.352;362.478;383.463;;;;;;;;;;;;;;
2;Tat;2015;May;Spring;;02-mar;cod;F;3;left;cod_mag08_06112017_Tat_2_3;N/A;N/A;N/A;4.454;N/A;4.454;276.98;186.462;;5.167;344.811;333.863;;;;;;;;;;;;;;
2;Tat;2015;May;Spring;;02-apr;cod;F;4;Unidentified;cod_mag08_06112017_Tat_2_4;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;The nucleus is not on the photo, so that the measurements will not really be possible.;;;;;;;;;;;;
3;Tat;2015;May;Spring;;03-jan;cod;W;3;left;cod_mag08_06112017_Tat_3_1;8.957;N/A;8.957;3.142;N/A;3.142;152.098;47.405;;3.645;199.949;84.88;;;;;;;;;;;;;;
3;Tat;2015;May;Spring;;03-feb;whiting;W;4;Unidentified;Cod_mag08_06112017_Tat_3_2;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;No nucleus? Mesurements possible?;;;;;;;;;;;;Mean;468.2206394
5;Tat;2015;May;Spring;;05-jan;cod;W;3;right;cod_mag08_06112017_Tat_5_1;N/A;N/A;N/A;4.732;N/A;4.732;303.441;236.476;;5.489;375.506;423.415;;;;;;;;;;;;;;
5;Tat;2015;May;Spring;;05-feb;cod;W;3;right;cod_mag08_06112017_Tat_5_2;11.524;N/A;11.524;5.166;N/A;5.166;344.751;333.7;;5.993;423.426;597.496;;;;;;;;;;;;;;
5;Tat;2015;May;Spring;;05-mar;cod;W;3;right;cod_mag08_06112017_Tat_5_3;10.362;N/A;10.362;4.431;N/A;4.431;274.79;182.711;;5.14;342.272;327.147;;;;;;;;;;;;;;
5;Tat;2015;May;Spring;;05-apr;cod;F;3;right;cod_mag08_06112017_Tat_5_4;N/A;N/A;N/A;4.246;N/A;4.246;257.181;154.551;;4.925;321.845;276.727;Tip missing.;;;;;;;;;;;;;
5;Tat;2015;May;Spring;;05-maj;cod;W;3;right;cod_mag08_06112017_Tat_5_5;10.938;N/A;10.938;4.477;N/A;4.477;279.169;190.269;;5.193;347.351;340.68;;;;;;;;;;;;;;
5;Tat;2015;May;Spring;;05-jun;cod;W;3;right;cod_mag08_06112017_Tat_5_6;11.078;N/A;11.078;4.67;N/A;4.67;297.539;224.547;;5.417;368.661;402.055;;;;;;;;;;;;;;
5;Tat;2015;May;Spring;Karin;05-jul;cod;W;3;left;cod_mag08_06112017_Tat_5_7;12.084;N/A;12.084;5.144;N/A;5.144;342.656;328.158;;5.967;420.997;587.572;;;;;;;;;;;;;;
5;Tat;2015;May;Spring;;05-aug;cod;F;3;left;cod_mag08_06112017_Tat_5_8;10.548;N/A;10.548;4.44;N/A;4.44;275.647;184.172;;5.15;343.266;329.763;;;;;;;;;;;;;;
