"sampling";"species";"age0";"age1";"age2";"age3";"age4";"age5";"age6";"age7";"age8";"age9";"age10"
"1991 1";"cod";4.20856331457904e-13;0.316003487629165;0.38603910184315;0.248079562985884;0.0348118293151913;0.0109779106065603;0.00375205227915055;0.000336055340478343;NA;NA;NA
"1991 1";"herring";6.94041515552329e-08;0.0365378188082206;0.209984325597732;0.293723454621566;0.253112783997919;0.15286619786518;0.0431821513386111;0.00621986560178925;0.00437333276483121;NA;NA
"1991 1";"flounder";5.05168629196158e-09;0.181658601367574;0.56750693733315;0.198837786747838;0.0393658242005111;0.00884012859050993;0.00200688924120481;0.00116571364681059;0.000401134075700516;0.000139784301868199;7.71954431468812e-05
"1991 1";"plaice";2.43041999351089e-06;0.394802070615728;0.44156086522111;0.127330861519669;0.0269806835129503;0.00531477859476111;0.00296801635849456;0.00057128498658222;0.000326195546128974;8.28187012038576e-05;5.99945233778904e-05
"1991 1";"dab";7.55893868392694e-06;0.195355271195765;0.704739915732105;0.0614870369115767;0.0257913819852969;0.0101254432538808;0.00182664673210154;0.000454727341091647;0.000139762514432053;2.7273219085639e-05;4.49821759809212e-05
"1991 2";"cod";3.37387112418924e-08;0.450883485205425;0.371292322996106;0.151996889100535;0.0179680725302899;0.0056679731097808;0.00200748128865298;0.000183742030498361;NA;NA;NA
"1991 2";"herring";6.11880037920161e-06;0.0761845666073706;0.243512280859181;0.291597681290206;0.217085882079509;0.127278473824565;0.0353918909808643;0.00519815343030346;0.0037449521276229;NA;NA
"1991 2";"flounder";6.13983571184331e-07;0.293377568300912;0.525190923050305;0.143334055296469;0.0282807185185748;0.00675729179372005;0.00157398016402521;0.000949318434182056;0.000337431483976844;0.000127700940661793;7.0398033601769e-05
"1991 2";"plaice";0.00522139377206611;0.501118121295306;0.380792090596252;0.088727811888105;0.0179517939211727;0.00348201340865739;0.00200342113663147;0.00037820656569737;0.000217207277533849;6.19502620251407e-05;4.59898765528624e-05
"1991 2";"dab";5.04846318946826e-06;0.290325420713635;0.630727390981863;0.0490693517888808;0.0200033712480126;0.00777143634344507;0.00149616466315773;0.000394242454121162;0.000132824871030721;2.8809342335016e-05;4.59391303294308e-05
