"sampling";"species";"age0";"age1";"age2";"age3";"age4";"age5";"age6";"age7";"age8";"age9";"age10"
"1991 1";"cod";3.15176405735739e-06;0.0635182440380191;0.411130341992752;0.42351231846013;0.068587781552612;0.0239003641716713;0.00858931215041549;0.000758485870343283;NA;NA;NA
"1991 1";"herring";5.45272043713957e-10;0.000434677432260014;0.010795251071741;0.0385589140827663;0.229933745350992;0.320467626020323;0.151823744829987;0.221671466909162;0.0263145737574956;NA;NA
"1991 1";"flounder";1.72310098729341e-09;8.79952839543685e-05;0.0144457301249333;0.118787088515806;0.232874742749727;0.179630317380781;0.179741564803201;0.147079359831562;0.075550708646989;0.0287650839901768;0.0230374069497679
"1991 1";"plaice";3.96744715418608e-08;8.91479996868809e-05;0.00309277478344727;0.0193433683826038;0.0916184880284481;0.174457492481401;0.223925097685383;0.15671330213654;0.150994535280889;0.0931861415460091;0.0865796120011198
"1991 1";"dab";1.25358597166278e-07;0.000488124921512567;0.0640079237197541;0.171302684933942;0.433211522644883;0.231729137843092;0.0644726897958965;0.0217766925727819;0.00835978891856779;0.00169586550567387;0.00295544378529878
"1991 2";"cod";5.1638386424458e-05;0.170834271058287;0.494633248770753;0.278828283855032;0.0375057162262343;0.0129658950578091;0.00475445853149547;0.000426488113964222;NA;NA;NA
"1991 2";"herring";4.41512742651807e-08;0.00135376329685384;0.0188906592085093;0.053594293721021;0.246226335532134;0.305497128273479;0.137081871447278;0.213764588305403;0.0235913160640474;NA;NA
"1991 2";"flounder";1.41833183157027e-08;0.000334616593829557;0.0283433661660407;0.156688411686214;0.244262307595895;0.173751911844902;0.16055506444949;0.125946320099657;0.0646236158954246;0.0251938610454235;0.0203005104398052
"1991 2";"plaice";8.98017075982788e-07;0.000284311400380185;0.00647466073919612;0.0303815294166112;0.107956380838606;0.181884439772797;0.216864100012397;0.149909980242614;0.137824349626608;0.0860639707454013;0.0823553791883141
"1991 2";"dab";1.66689104296553e-07;0.00178135367246785;0.108032405497069;0.190277244518514;0.404649723461439;0.202966370391439;0.0595547152681917;0.0201455319429799;0.00772786057816213;0.00179514346356002;0.00306948451707296
"1991 3";"cod";0.000956039526997662;0.32331980370043;0.482458216277908;0.164516856175326;0.0193175421173695;0.00668513769970815;0.00251230191076253;0.000234102591497519;NA;NA;NA
"1991 3";"herring";3.17211295690768e-06;0.00318170001772431;0.0296789868029236;0.069763827330911;0.257376157817782;0.288728615609579;0.123937945017675;0.205864901347994;0.0214646939424537;NA;NA
"1991 3";"flounder";2.56688798397089e-07;0.000977272310628879;0.0488180025594471;0.188281473260992;0.246994811427388;0.165723956095412;0.144069476036454;0.108787231873621;0.0558583479285179;0.0223766183979287;0.0181125534208121
"1991 3";"plaice";6.63997492712615e-06;0.000743484591339688;0.0120525204590994;0.0429346952778692;0.122875212544371;0.18631730000952;0.208042412651912;0.143087139457304;0.12566337314746;0.0795219645407504;0.0787552573454474
"1991 3";"dab";2.45999308470556e-06;0.00484829367156623;0.156738320012024;0.208232921210674;0.36428216755609;0.179825273258186;0.0535766829882962;0.0190652272132198;0.0077633659797927;0.00238318102504532;0.00328210709202182
"1991 4";"cod";0.00728683423619669;0.525211802916489;0.379937087642078;0.0757859750111351;0.007885586343017;0.00273693278949537;0.00105491410196187;0.000100866959627545;NA;NA;NA
"1991 4";"herring";6.75305901117432e-05;0.00826623928107328;0.0498891125084822;0.0949257891078539;0.266553226835321;0.26698239854503;0.109201689124328;0.185372749690466;0.0187412643173332;NA;NA
"1991 4";"flounder";4.18686059721909e-06;0.00335763334001092;0.0872861309168648;0.222487047971187;0.241927716672708;0.152506529016409;0.12317282182222;0.08931797956537;0.0458202439702194;0.0188227146742868;0.0152969951901271
"1991 4";"plaice";5.31198431694973e-05;0.00238614585788049;0.0242804172821165;0.0623452169861377;0.138546549984256;0.187745182687591;0.195506339580935;0.133114325775133;0.111428505609903;0.0713559754098194;0.0732382209830581
"1991 4";"dab";6.61235075557635e-05;0.0145335906775949;0.229005668866621;0.212376794631485;0.323494198244577;0.14682559428748;0.0450548257632901;0.0165820586248817;0.00675417888934664;0.00180287446120016;0.00350409204596725
"1992 1";"cod";1.63052284282315e-06;0.0337951227093298;0.676531416033906;0.252021185300446;0.0327707172572809;0.00322847895857832;0.00113758249395781;0.000513866723658582;NA;NA;NA
"1992 1";"herring";3.81232090169598e-10;0.000555445017677843;0.0190273687550953;0.0780276411186302;0.125051933187496;0.270689495661455;0.244718739489872;0.0985920814460887;0.163337294942453;NA;NA
"1992 1";"flounder";1.17865431681985e-09;3.57540034616968e-05;0.0102541608765556;0.136570919290103;0.246713737998169;0.228463454644183;0.136750550995594;0.103775887735173;0.0722708652004769;0.0371251433082536;0.0280395247693757
"1992 1";"plaice";2.88515103822496e-08;0.000312257646608921;0.00704216822219257;0.0443391787075541;0.0848285971055675;0.151173076143277;0.185591217129852;0.180895185577287;0.122289302136352;0.097628876339934;0.125900112139864
"1992 1";"dab";2.58899135247535e-07;0.000721627519115223;0.0355150374061643;0.299903249707113;0.202788649951291;0.281165700776974;0.117619202209458;0.0373285376317208;0.0139818293158871;0.00604995198194255;0.00492595460119921
"1992 2";"cod";1.56650266138032e-05;0.0903070110694138;0.719129886582462;0.170693782940457;0.0172392281234956;0.00171705522300976;0.000609581279316304;0.000287789755232422;NA;NA;NA
"1992 2";"herring";3.43024916141895e-08;0.0017691007681653;0.0321931423480833;0.10362272273001;0.147195260287751;0.263023679292815;0.220823170801485;0.0926398991979623;0.138732990271237;NA;NA
"1992 2";"flounder";9.45528393628219e-09;0.000134628270267091;0.0205566194933738;0.174178723534101;0.255519658672596;0.215140695765388;0.125289859289244;0.0911042597360563;0.06159605584247;0.0317639273386041;0.0247155626026157
"1992 2";"plaice";8.08428405946599e-07;0.000963005967283154;0.0142012166801716;0.0632846668324;0.10153488195471;0.15724273395876;0.180593251774833;0.166994851657304;0.112886778281976;0.0864251966141204;0.115872607850035
"1992 2";"dab";1.90702341178346e-07;0.0028324202736207;0.0606520703247997;0.341090228953538;0.198438008898244;0.240612893654035;0.0987891682335464;0.0338829837798443;0.0129619820227735;0.00589624894516875;0.00484380421208907
"1992 3";"cod";0.000227314245561645;0.189824282149484;0.686465488496534;0.11271093866811;0.00931544926302199;0.000945774676773325;0.000343180154926942;0.000167572345589089;NA;NA;NA
"1992 3";"herring";2.43843334058533e-06;0.00415823854937448;0.0480375942304519;0.126494105073072;0.163318499875623;0.24928545627744;0.19453244017724;0.0855777060997622;0.128593521283696;NA;NA
"1992 3";"flounder";1.64463021604664e-07;0.000395693353197458;0.0359760458560575;0.20553355974109;0.257358451095983;0.201730167754057;0.11516162490921;0.0808891634129615;0.0531772180315264;0.027566105630152;0.0222118057527442
"1992 3";"plaice";6.2689073023017e-06;0.00240364582525192;0.0253365943153448;0.0827699707625682;0.115658598605697;0.160324391285964;0.174054012417186;0.152909000334988;0.103685677884547;0.0762114700281678;0.106640369632983
"1992 3";"dab";2.91654853243139e-06;0.00794453180496727;0.0898867203391169;0.36110424156518;0.187849676453811;0.215922225567328;0.0841722651225195;0.0293289840190814;0.0125483650999524;0.00526488435526389;0.00597518912424762
"1992 4";"cod";0.00195028604245015;0.384017158260585;0.547534265226879;0.0616252312419523;0.00418609311783614;0.000440770558159254;0.000163024491818057;8.31710603204656e-05;NA;NA;NA
"1992 4";"herring";5.23260572578388e-05;0.0105407498299381;0.0733855279306379;0.15513098009258;0.182802297184336;0.229925001207752;0.167296516320161;0.076759582425583;0.104107018951753;NA;NA
"1992 4";"flounder";2.83567162260406e-06;0.00139901948219568;0.0667164512856487;0.238390148742216;0.253456761167563;0.183106568655966;0.10237011552501;0.0688153285223533;0.0438843703886613;0.0228456357370931;0.01901276482167
"1992 4";"plaice";5.15283427783314e-05;0.0072447486151743;0.0481954962762267;0.107688677950315;0.130522819079504;0.159205656738405;0.161894269401854;0.135042179052168;0.0915117080943684;0.0644630446168301;0.0941798718323764
"1992 4";"dab";9.95012691451213e-05;0.0231528260614225;0.135905806949471;0.373805350139727;0.172184980859017;0.183250679532912;0.066330825565395;0.0242509210635701;0.0102858512987008;0.00537956521185247;0.00535369204878703
"1993 1";"cod";3.38249727608501e-06;0.00916166067444151;0.591971785330841;0.365531774781679;0.0311206039257297;0.0018668851798235;0.000205890318366877;0.000138017291842099;NA;NA;NA
"1993 1";"herring";3.15476162984141e-10;0.000452681083812356;0.0250858902658735;0.113231452491474;0.195793024650446;0.215081880744653;0.221962646268897;0.156670508332701;0.0717219158466681;NA;NA
"1993 1";"flounder";1.17324930698698e-09;2.21698238252143e-05;0.00414383263275909;0.106960435723865;0.259972286924525;0.241925129191356;0.165236113971989;0.0908413810959183;0.0591100586525568;0.0368333268471672;0.0349552639627891
"1993 1";"plaice";2.91949008216553e-08;0.000306618074461319;0.0195253582497912;0.0829093263267619;0.129959515642135;0.140225635908407;0.153630082045799;0.147439130104778;0.116849060133488;0.0792886888950547;0.129866555424422
"1993 1";"dab";1.14961101607674e-07;0.00124882218097737;0.053814399346099;0.181769638919423;0.365393357913231;0.149708824880795;0.154939069404215;0.0553420071638811;0.0191329267083141;0.00903928364137782;0.00961155488058567
"1993 2";"cod";2.50137757413788e-05;0.025132098919679;0.710603072581358;0.245265155796078;0.0177535772135288;0.00102273208704662;0.000116975767609176;8.13738589592944e-05;NA;NA;NA
"1993 2";"herring";2.15483575395368e-08;0.00139246309816002;0.0408173744462644;0.135339712805118;0.208361197587464;0.216490957343998;0.194778184074714;0.141041476437497;0.0617786126584275;NA;NA
"1993 2";"flounder";8.7732063534677e-09;9.0985540314999e-05;0.00892134277301668;0.142167467761993;0.269262128391017;0.23070631938422;0.151303368325996;0.0825315466532561;0.0522751945443832;0.0317979795871148;0.0309436582654822
"1993 2";"plaice";6.8546540804131e-07;0.000935803785228635;0.0361434319993417;0.112047879890534;0.142103265767082;0.143929703865352;0.146134993481514;0.13415496510702;0.101836827433574;0.0694775239911405;0.113234919213806
"1993 2";"dab";2.8024521559509e-07;0.00499969283564189;0.086640980837282;0.213923120130405;0.345418262718029;0.133091679390769;0.137822148686038;0.044110865950751;0.0166909756849597;0.00827347299458277;0.00902852052632565
"1993 3";"cod";0.000283197030652441;0.0532602071219098;0.769208347640969;0.166021490456041;0.0105165470970867;0.00058968691659749;7.0494622777502e-05;5.00291139667387e-05;NA;NA;NA
"1993 3";"herring";1.26924322606363e-06;0.00322746290549277;0.0596840535494852;0.154572809269546;0.215795966512141;0.213594575867331;0.17116513231044;0.128183607439127;0.0537751229032115;NA;NA
"1993 3";"flounder";1.31436122986543e-07;0.00028687313437493;0.0169335573152061;0.174284338865877;0.27161906656067;0.219087513430903;0.13925777497045;0.0758626499625202;0.0469194465210158;0.0278990796361877;0.0278495681666732
"1993 3";"plaice";5.02165756030273e-06;0.00234167992412444;0.0582106924868902;0.13844545449719;0.147988124399324;0.144293145289956;0.138071336967361;0.121880686635329;0.0886949488861477;0.0609575457537572;0.0991113635023608
"1993 3";"dab";3.91449292202438e-06;0.0141313043593774;0.12168676196919;0.23824300354742;0.321486513331841;0.122177041547376;0.11416270337627;0.0363907966016105;0.0150916697256808;0.00740357426406919;0.00922271678424307
"1993 4";"cod";0.00259449290247595;0.114082479987412;0.773926458359793;0.103314732278441;0.00569906208706756;0.000314347763757171;3.95076383812143e-05;2.89189826718721e-05;NA;NA;NA
"1993 4";"herring";2.43205476150837e-05;0.00793620632569609;0.0871284728536793;0.174611434605094;0.21975278572154;0.209721883785796;0.144720446002716;0.111380184047011;0.0447242661108515;NA;NA
"1993 4";"flounder";2.20788660506638e-06;0.00110021643955475;0.0346714285969715;0.213186865273308;0.268697720242635;0.202721857333849;0.124277043757145;0.0673246078831862;0.0404902204286797;0.0234961443072682;0.024031687850797
"1993 4";"plaice";3.92375260391424e-05;0.00688343957707368;0.0988427441653993;0.167896543465403;0.149699320323091;0.139583395850517;0.124758702821688;0.105513981736458;0.0734734176046271;0.0507567099547416;0.0825525069749618
"1993 4";"dab";9.17291046509188e-05;0.0361704523581265;0.160267094792864;0.24611495736933;0.274965653760106;0.102924513222745;0.0895996936978685;0.0616780176683802;0.0123371647463176;0.00636899629177282;0.00948172698783867
"1994 1";"cod";1.13287004961244e-06;0.016322225373905;0.206352866965776;0.707623533642335;0.0661445008742239;0.00332084343719947;0.000181549518639319;5.33473178718139e-05;NA;NA;NA
"1994 1";"herring";4.63593426547687e-10;0.000190747753924527;0.0174600606369306;0.122179604794719;0.194671904415783;0.225441664171212;0.207415004741634;0.133219118296429;0.0994218947257746;NA;NA
"1994 1";"flounder";2.87859585425883e-09;2.28818166274612e-05;0.00394530115675161;0.064637875922563;0.24704259391193;0.259302148016598;0.183890382488397;0.109229004918241;0.0588526724605472;0.0344016488925406;0.0386754875372082
"1994 1";"plaice";1.29215285007347e-08;0.000221106053097688;0.0182769494133633;0.149991260838136;0.190434338413991;0.14539204066366;0.131537978304307;0.1105047838054;0.0896455020194881;0.0597700773761636;0.104225950190866
"1994 1";"dab";1.40537289615689e-07;0.000989717685143049;0.0765832715434791;0.203925201441463;0.261213119910489;0.24645431503131;0.0881127456072929;0.0741518179114162;0.0245950985334445;0.00993370879191332;0.0140408630067591
"1994 2";"cod";1.93892258601221e-05;0.0526453549185887;0.281040169012727;0.615784690798123;0.0480058480259527;0.00233652960489031;0.000128653049045932;3.93653648127429e-05;NA;NA;NA
"1994 2";"herring";2.60887999867305e-08;0.00058651051727564;0.0280575718574354;0.145472303829573;0.197318978665788;0.217779157910172;0.194727229805682;0.128984989548249;0.0870732317770257;NA;NA
"1994 2";"flounder";1.97127416777853e-08;9.02115330829248e-05;0.00864438962814454;0.0923059031717449;0.262754664518309;0.247804946010106;0.170377737682219;0.0992194482251593;0.0536162967890952;0.0307497949820403;0.0344365877473563
"1994 2";"plaice";2.74647486914428e-07;0.000660049522361186;0.0332413248623933;0.183145167571618;0.198238110732603;0.139404418687734;0.125250954002267;0.100626759178356;0.0789847975974421;0.0506409218778561;0.0898072213198831
"1994 2";"dab";8.13335082564042e-08;0.00382883429639763;0.112252949964973;0.225984045561879;0.255489038895222;0.215020593563627;0.0796375629114206;0.0667659480339569;0.0188686923897408;0.00918865881018121;0.0129635942390935
"1994 3";"cod";0.000440193887640037;0.127923684501847;0.329071514756972;0.506213932863259;0.0345881585044742;0.00164271794878486;9.07005503489563e-05;2.90969866736008e-05;NA;NA;NA
"1994 3";"herring";1.17273979429316e-06;0.00138191255533141;0.0406383625014479;0.165623041012788;0.198079411005681;0.20865532126002;0.181743902643419;0.12628945456035;0.0775874217211675;NA;NA
"1994 3";"flounder";2.57003789888133e-07;0.000276780810175267;0.0166923940655406;0.12064967722153;0.270746376483777;0.235291047941877;0.158021970626617;0.0905727959703102;0.0491311943354054;0.0277079104052145;0.0309095951357638
"1994 3";"plaice";1.84470002727517e-06;0.00160781346421204;0.0530793905174881;0.210123411626543;0.19941841510197;0.132338613216928;0.119279793395203;0.092123397604261;0.0702077078790534;0.0433104228392585;0.0785091896550555
"1994 3";"dab";1.38639581244287e-06;0.0105186464053763;0.143964323736811;0.239847785434711;0.245906463123661;0.188518178262259;0.0710169792624489;0.0626027713848387;0.0158430768735238;0.00790294763809504;0.0138774414824637
"1994 4";"cod";0.00462869059484103;0.29633796351669;0.326804081375133;0.349745013086659;0.0214251528138453;0.000984694832446264;5.54914890100943e-05;1.89122913748079e-05;NA;NA;NA
