"sampling";"biomass";"species"
"1991 2";11306209.4643773;"cod"
"1991 2";243087131.956297;"herring"
"1991 2";15017.9194691601;"flounder"
"1991 2";612.896405844529;"plaice"
"1991 2";25409.8075199874;"dab"
"1992 2";23318283.2414005;"cod"
"1992 2";215238806.343;"herring"
"1992 2";13167.0427890835;"flounder"
"1992 2";1361.73899663621;"plaice"
"1992 2";17963.8787269353;"dab"
"1993 2";23790236.5849546;"cod"
"1993 2";182507231.339643;"herring"
"1993 2";8521.0770365209;"flounder"
"1993 2";1719.94955777662;"plaice"
"1993 2";11723.9761112657;"dab"
"1994 2";18578248.0605067;"cod"
"1994 2";142712262.258436;"herring"
"1994 2";7600.84804616087;"flounder"
"1994 2";1661.71568675341;"plaice"
"1994 2";9363.74654919781;"dab"
"1995 2";32711059.3325006;"cod"
"1995 2";112665832.425314;"herring"
"1995 2";9588.77198528777;"flounder"
"1995 2";1430.81016458293;"plaice"
"1995 2";8494.29718312589;"dab"
"1996 2";33489573.6001622;"cod"
"1996 2";104376105.59112;"herring"
"1996 2";12643.8824047629;"flounder"
"1996 2";1833.46550831091;"plaice"
"1996 2";12412.7401180624;"dab"
"1997 2";24422239.9789473;"cod"
"1997 2";103279305.367333;"herring"
"1997 2";13861.4376633677;"flounder"
"1997 2";3545.2618947759;"plaice"
"1997 2";16848.6064183518;"dab"
"1998 2";35319743.1189691;"cod"
"1998 2";102866200.696833;"herring"
"1998 2";12562.345566995;"flounder"
"1998 2";4665.60951636252;"plaice"
"1998 2";20793.9823607081;"dab"
"1999 2";29295504.7963536;"cod"
"1999 2";101525578.778792;"herring"
"1999 2";10767.3475794245;"flounder"
"1999 2";5418.03711253019;"plaice"
"1999 2";26061.3715953562;"dab"
"2000 2";16289529.7874455;"cod"
"2000 2";115418659.673953;"herring"
"2000 2";8609.79662805167;"flounder"
"2000 2";5344.87857433107;"plaice"
"2000 2";20526.257531195;"dab"
"2001 2";12627489.068858;"cod"
"2001 2";123081260.475083;"herring"
"2001 2";6458.14736825981;"flounder"
"2001 2";4774.6799966277;"plaice"
"2001 2";16996.3989813502;"dab"
"2002 2";14766647.3792575;"cod"
"2002 2";110250314.418974;"herring"
"2002 2";4336.11285754645;"flounder"
"2002 2";4528.90262839366;"plaice"
"2002 2";12708.1072178585;"dab"
"2003 2";14968270.9336581;"cod"
"2003 2";99626234.199625;"herring"
"2003 2";4819.64578683169;"flounder"
"2003 2";4890.74703306883;"plaice"
"2003 2";9241.2147436917;"dab"
"2004 2";13402290.0538836;"cod"
"2004 2";97678399.5058043;"herring"
"2004 2";6502.02610734261;"flounder"
"2004 2";7064.67210931388;"plaice"
"2004 2";6592.2577759539;"dab"
"2005 2";15581090.8828423;"cod"
"2005 2";96758969.1679593;"herring"
"2005 2";8612.41222877935;"flounder"
"2005 2";6895.13532544094;"plaice"
"2005 2";7674.89399241251;"dab"
"2006 2";9417975.91115128;"cod"
"2006 2";85091850.3567667;"herring"
"2006 2";9517.02748144753;"flounder"
"2006 2";6127.73536853273;"plaice"
"2006 2";9449.35677528755;"dab"
"2007 2";6013801.04173156;"cod"
"2007 2";70739720.1290498;"herring"
"2007 2";9490.74684006161;"flounder"
"2007 2";5049.95951298868;"plaice"
"2007 2";10842.7846032763;"dab"
"2008 2";3141222.83300336;"cod"
"2008 2";57110388.8533788;"herring"
"2008 2";9306.06181737821;"flounder"
"2008 2";5656.26388692887;"plaice"
"2008 2";9563.35478884469;"dab"
"2009 2";5006402.12694423;"cod"
"2009 2";49333289.1858053;"herring"
"2009 2";11158.431876197;"flounder"
"2009 2";8197.6190337477;"plaice"
"2009 2";9791.36196470033;"dab"
"2010 2";7753634.87552355;"cod"
"2010 2";44176830.5960469;"herring"
"2010 2";11888.2232133166;"flounder"
"2010 2";10135.3678949751;"plaice"
"2010 2";10380.6935606155;"dab"
"2011 2";6089876.86111588;"cod"
"2011 2";45186162.2788707;"herring"
"2011 2";18027.3953109518;"flounder"
"2011 2";10780.7914633641;"plaice"
"2011 2";11101.7345881969;"dab"
"2012 2";6455558.93139534;"cod"
"2012 2";52928377.0289368;"herring"
"2012 2";23860.0842125511;"flounder"
"2012 2";12906.610894731;"plaice"
"2012 2";12289.8942133112;"dab"
"2013 2";7327901.49492456;"cod"
"2013 2";55858891.9779875;"herring"
"2013 2";28750.3209383812;"flounder"
"2013 2";19536.7386603665;"plaice"
"2013 2";12793.788267412;"dab"
"2014 2";7631417.61139868;"cod"
