"sampling";"biomass";"species"
"1991 2";9927241.05547544;"cod"
"1991 2";114225463.091304;"herring"
"1991 2";11590.7370692636;"flounder"
"1991 2";294.210938395162;"plaice"
"1991 2";2923.18112035131;"dab"
"1992 2";20559137.9518738;"cod"
"1992 2";121824370.656569;"herring"
"1992 2";13340.1941451198;"flounder"
"1992 2";551.992386863354;"plaice"
"1992 2";2578.21756200624;"dab"
"1993 2";24822841.6663188;"cod"
"1993 2";109326465.837175;"herring"
"1993 2";12801.8952203611;"flounder"
"1993 2";730.795233773595;"plaice"
"1993 2";2096.92192045432;"dab"
"1994 2";17360778.4610626;"cod"
"1994 2";90834859.5984486;"herring"
"1994 2";11743.4171189961;"flounder"
"1994 2";1071.33866455008;"plaice"
"1994 2";2588.46875687375;"dab"
"1995 2";29567523.1899206;"cod"
"1995 2";72055240.1537603;"herring"
"1995 2";12399.3445639906;"flounder"
"1995 2";1519.81463626012;"plaice"
"1995 2";1713.67942953574;"dab"
"1996 2";35000640.126597;"cod"
"1996 2";54807215.2704653;"herring"
"1996 2";9220.0531060144;"flounder"
"1996 2";2119.97508075156;"plaice"
"1996 2";1452.01607904248;"dab"
"1997 2";21994461.3087782;"cod"
"1997 2";43533942.1925091;"herring"
"1997 2";10155.424095369;"flounder"
"1997 2";1414.26577207894;"plaice"
"1997 2";1849.42180073874;"dab"
"1998 2";32331663.6234138;"cod"
"1998 2";40479132.6167761;"herring"
"1998 2";10593.4689109566;"flounder"
"1998 2";1509.9806996056;"plaice"
"1998 2";3034.90196647436;"dab"
"1999 2";30246458.8614096;"cod"
"1999 2";41599829.875727;"herring"
"1999 2";10068.1871510712;"flounder"
"1999 2";2153.75952648627;"plaice"
"1999 2";3501.59009226922;"dab"
"2000 2";16325746.271022;"cod"
"2000 2";43345638.9702373;"herring"
"2000 2";12569.6055619551;"flounder"
"2000 2";2109.83781433824;"plaice"
"2000 2";3471.67759019899;"dab"
"2001 2";12612493.1588639;"cod"
"2001 2";44587005.4801554;"herring"
"2001 2";11824.353027898;"flounder"
"2001 2";2927.58444762167;"plaice"
"2001 2";2216.71649106154;"dab"
"2002 2";13445104.590585;"cod"
"2002 2";48841222.7093972;"herring"
"2002 2";9218.41026942261;"flounder"
"2002 2";3790.38912062501;"plaice"
"2002 2";2202.90866283189;"dab"
"2003 2";15548624.4863549;"cod"
"2003 2";52641375.0855459;"herring"
"2003 2";10870.9237536466;"flounder"
"2003 2";3852.47025258499;"plaice"
"2003 2";1810.07798599032;"dab"
"2004 2";12436532.0401852;"cod"
"2004 2";52677106.767644;"herring"
"2004 2";6324.11248757217;"flounder"
"2004 2";2494.22600624154;"plaice"
"2004 2";1369.00826610901;"dab"
"2005 2";16039048.1774333;"cod"
"2005 2";49984877.0024096;"herring"
"2005 2";7161.33145667861;"flounder"
"2005 2";3302.32030920799;"plaice"
"2005 2";1600.19422319224;"dab"
"2006 2";9687620.38657448;"cod"
"2006 2";47779409.5182572;"herring"
"2006 2";8758.98925409009;"flounder"
"2006 2";4172.73724219812;"plaice"
"2006 2";1510.02350578493;"dab"
"2007 2";6338951.40212819;"cod"
"2007 2";44407372.7707063;"herring"
"2007 2";7965.91478528674;"flounder"
"2007 2";5221.07010540082;"plaice"
"2007 2";1083.4128805927;"dab"
"2008 2";3319347.76610583;"cod"
"2008 2";37255184.2531526;"herring"
"2008 2";8147.75748861335;"flounder"
"2008 2";6966.80349507343;"plaice"
"2008 2";1896.78110839331;"dab"
"2009 2";4429725.09624468;"cod"
"2009 2";30368517.7423485;"herring"
"2009 2";12552.7145636999;"flounder"
"2009 2";4743.43818157764;"plaice"
"2009 2";3032.20270473558;"dab"
"2010 2";8046930.36732351;"cod"
"2010 2";26534991.0139825;"herring"
"2010 2";11054.8211254031;"flounder"
"2010 2";4954.13447025315;"plaice"
"2010 2";2549.10282815954;"dab"
"2011 2";6021567.98974284;"cod"
"2011 2";26610508.8097094;"herring"
"2011 2";11956.153281315;"flounder"
"2011 2";4073.47532254277;"plaice"
"2011 2";1847.28597563106;"dab"
"2012 2";6431385.78520928;"cod"
"2012 2";28021796.8846684;"herring"
"2012 2";14378.6939928967;"flounder"
"2012 2";8524.84047071787;"plaice"
"2012 2";1936.00810171559;"dab"
"2013 2";6797402.14104008;"cod"
"2013 2";29360732.5015199;"herring"
"2013 2";15312.3296171559;"flounder"
"2013 2";6349.1002245378;"plaice"
"2013 2";1980.41936484146;"dab"
"2014 2";7748780.64174539;"cod"
"2014 2";31918838.0218673;"herring"
"2014 2";15638.8913049223;"flounder"
"2014 2";9487.38827421512;"plaice"
"2014 2";2341.68608213099;"dab"
"2015 2";5034796.0307067;"cod"
"2015 2";33984055.097519;"herring"
"2015 2";14401.9343788008;"flounder"
"2015 2";10140.2639181673;"plaice"
"2015 2";1935.25504683106;"dab"
"2016 2";3177665.90246475;"cod"
"2016 2";32839921.1554872;"herring"
"2016 2";18053.142266484;"flounder"
"2016 2";9507.96177813956;"plaice"
"2016 2";2102.45111551242;"dab"
"2017 2";5063790.17979537;"cod"
"2017 2";28043736.9884866;"herring"
"2017 2";14555.3609743723;"flounder"
"2017 2";12382.0328968208;"plaice"
"2017 2";2555.92884046329;"dab"
"2018 2";7831744.72570621;"cod"
"2018 2";21280295.7689163;"herring"
"2018 2";14483.290551649;"flounder"
"2018 2";11178.8260617753;"plaice"
"2018 2";1713.1587294421;"dab"
"2019 2";1944045.13044837;"cod"
"2019 2";17384201.9373738;"herring"
"2019 2";12156.4173066047;"flounder"
"2019 2";12298.6248064793;"plaice"
"2019 2";2813.41931314721;"dab"
"2020 2";1156546.27468093;"cod"
"2020 2";18095430.5244093;"herring"
"2020 2";11254.8560077865;"flounder"
"2020 2";8845.97598697412;"plaice"
"2020 2";2728.24548600487;"dab"
"2021 2";1581668.9632791;"cod"
"2021 2";20367093.9570238;"herring"
"2021 2";13535.0102479706;"flounder"
"2021 2";7637.03778317584;"plaice"
"2021 2";1594.5337667579;"dab"
"2022 2";1930791.05052028;"cod"
"2022 2";24505301.0373221;"herring"
"2022 2";10863.9187419976;"flounder"
"2022 2";7405.5718495089;"plaice"
"2022 2";2448.64425672533;"dab"
"2023 2";4075339.05633254;"cod"
"2023 2";32034892.1256421;"herring"
"2023 2";10270.2348638203;"flounder"
"2023 2";6668.35591443962;"plaice"
"2023 2";2103.57646065395;"dab"
