"sampling";"biomass";"species";"normB"
"1 5 93 SVA";25389661.3346677;"cod";1.19654813071965
"1 5 93 SVA";110289045.399139;"herring";1.094851978288
"1 5 93 SVA";13884.5722141642;"flounder";1.12183796231157
"1 5 93 SVA";509.372168372921;"plaice";0.663212753916022
"1 5 93 SVA";2538.87572871007;"dab";1.04835924455372
"8 5 93 STA";25069832.3775793;"cod";1.18147543102076
"8 5 93 STA";109413106.185889;"herring";1.0861564294507
"8 5 93 STA";11788.3539753722;"flounder";0.952468884078986
"8 5 93 STA";445.608918241738;"plaice";0.580191726573245
"8 5 93 STA";2065.13856021456;"dab";0.852742446746412
"6 5 93 TYR";25283496.0202966;"cod";1.19154483797054
"6 5 93 TYR";109901504.146804;"herring";1.09100481191485
"6 5 93 TYR";11504.4128820929;"flounder";0.929527169160613
"6 5 93 TYR";500.194892290982;"plaice";0.651263756853242
"6 5 93 TYR";3264.89243798879;"dab";1.3481479739767
"6 5 93 DYR";25221160.4755795;"cod";1.18860712728093
"6 5 93 DYR";109948432.180669;"herring";1.0914706718788
"6 5 93 DYR";11394.1693113988;"flounder";0.920619770301087
"6 5 93 DYR";502.64366764714;"plaice";0.654452111358096
"6 5 93 DYR";3315.60734044301;"dab";1.36908930490649
"12 5 93 BR∆";25047690.5489094;"cod";1.18043194472307
"12 5 93 BR∆";109440257.928591;"herring";1.08642596790852
"12 5 93 BR∆";12413.8859044121;"flounder";1.00301026582348
"12 5 93 BR∆";700.085228007066;"plaice";0.911524973038115
"12 5 93 BR∆";2577.7393469012;"dab";1.06440691201013
"7 5 93 ORM";25113072.7730272;"cod";1.18351323742009
"7 5 93 ORM";109836537.077511;"herring";1.0903598763813
"7 5 93 ORM";12457.1202863517;"flounder";1.0065034934281
"7 5 93 ORM";386.461335664918;"plaice";0.50318039072906
"7 5 93 ORM";2997.0144635195;"dab";1.23753509609083
"13 5 93 HOP";24848853.7263348;"cod";1.17106128690949
"13 5 93 HOP";109197067.089733;"herring";1.08401178461351
"13 5 93 HOP";10836.7396641249;"flounder";0.875580878934172
"13 5 93 HOP";843.939067326096;"plaice";1.09882554982644
"13 5 93 HOP";3372.00121558566;"dab";1.39237561217764
"5 5 93 NAK";25276703.5023148;"cod";1.19122472441776
"5 5 93 NAK";110243820.881949;"herring";1.09440302932908
"5 5 93 NAK";11481.1582103113;"flounder";0.927648251092174
"5 5 93 NAK";693.478144404076;"plaice";0.902922418003179
"5 5 93 NAK";2293.8077639717;"dab";0.947165135888952
"16 7 93 MEL";22119620.6007642;"cod";1.04243968965168
