"sampling";"biomass";"species"
"2015 Jun";4812003.26516393;"cod"
"2015 Jun";33590617.2495341;"herring"
"2015 Jun";16420.0120795053;"flounder"
"2015 Jun";10043.073442347;"plaice"
"2015 Jun";2797.25147284541;"dab"
"2016 Apr";3376384.39079726;"cod"
"2016 Apr";33157029.7840093;"herring"
"2016 Apr";18483.6002271569;"flounder"
"2016 Apr";9169.39874892607;"plaice"
"2016 Apr";2807.41033053168;"dab"
"2016 Jan";4008707.09105596;"cod"
"2016 Jan";33607391.3533631;"herring"
"2016 Jan";19871.5883710327;"flounder"
"2016 Jan";11838.6589835345;"plaice"
"2016 Jan";2377.21611807905;"dab"
"2016 Jun";2949281.01826392;"cod"
"2016 Jun";32209150.3908656;"herring"
"2016 Jun";13763.2562407889;"flounder"
"2016 Jun";8703.28320631885;"plaice"
"2016 Jun";1867.61418233253;"dab"
"2016 Mar";3614467.1105571;"cod"
"2016 Mar";33463140.9955467;"herring"
"2016 Mar";17888.0643221547;"flounder"
"2016 Mar";10999.2934380103;"plaice"
"2016 Mar";2478.34476422141;"dab"
"2016 May";3112379.54626245;"cod"
"2016 May";32766878.1656964;"herring"
"2016 May";17706.5227636744;"flounder"
"2016 May";9771.36859350907;"plaice"
"2016 May";3145.98316832827;"dab"
"2016 Nov";2738067.82294654;"cod"
"2016 Nov";31254486.7559531;"herring"
"2016 Nov";14704.5908442287;"flounder"
"2016 Nov";11926.0195256186;"plaice"
"2016 Nov";1960.85546073468;"dab"
"2017 Aug";6568464.4966171;"cod"
"2017 Aug";25787347.1367747;"herring"
"2017 Aug";12495.4043835735;"flounder"
"2017 Aug";9972.18598410355;"plaice"
"2017 Aug";2350.03031012391;"dab"
"2017 Oct";8030527.23000709;"cod"
"2017 Oct";25270317.1128748;"herring"
"2017 Oct";15751.4116847741;"flounder"
"2017 Oct";10427.8045907134;"plaice"
"2017 Oct";2438.693411275;"dab"
